prompt,answer,reasoning
"
## You are an expert on statistics. Your task is to estimate the percentile of a number within a specific distribution. Answer with just a numerical response from 0 to 100. Make sure your final answer is enclosed by xml tags <answer> and </answer>

## Here are some examples to help you understand the task:


Example 1:
Distribution:

  Distribution Type: Geometric Distribution
  Characteristics: Models the number of trials until the first success.
  Probability of Success: 0.03
  
Question:
What is the percentile of 30.0 within the provided distribution?
Answer:
<answer>60.0</answer>

Example 2:
Distribution:

  Distribution Type: Geometric Distribution
  Characteristics: Models the number of trials until the first success.
  Probability of Success: 0.025
  
Question:
What is the percentile of 64.0 within the provided distribution?
Answer:
<answer>80.0</answer>

Example 3:
Distribution:

  Distribution Type: Geometric Distribution
  Characteristics: Models the number of trials until the first success.
  Probability of Success: 0.032
  
Question:
What is the percentile of 22.0 within the provided distribution?
Answer:
<answer>50.0</answer>

Example 4:
Distribution:

  Distribution Type: Geometric Distribution
  Characteristics: Models the number of trials until the first success.
  Probability of Success: 0.03
  
Question:
What is the percentile of 4.0 within the provided distribution?
Answer:
<answer>10.0</answer>

Example 5:
Distribution:

  Distribution Type: Geometric Distribution
  Characteristics: Models the number of trials until the first success.
  Probability of Success: 0.028
  
Question:
What is the percentile of 33.0 within the provided distribution?
Answer:
<answer>60.0</answer>

Example 6:
Distribution:

  Distribution Type: Geometric Distribution
  Characteristics: Models the number of trials until the first success.
  Probability of Success: 0.012
  
Question:
What is the percentile of 9.0 within the provided distribution?
Answer:
<answer>10.0</answer>

Example 7:
Distribution:

  Distribution Type: Geometric Distribution
  Characteristics: Models the number of trials until the first success.
  Probability of Success: 0.064
  
Question:
What is the percentile of 35.0 within the provided distribution?
Answer:
<answer>90.0</answer>


## Consider the following distribution:


  Distribution Type: Geometric Distribution
  Characteristics: Models the number of trials until the first success.
  Probability of Success: 0.05
  

## Here is your question:
Question:
What is the percentile of the value 5.0 within the provided distribution?
Answer:
",20.0,<answer>20.0</answer>
"
## You are an expert on statistics. Your task is to estimate the percentile of a number within a specific distribution. Answer with just a numerical response from 0 to 100. Make sure your final answer is enclosed by xml tags <answer> and </answer>

## Here are some examples to help you understand the task:


Example 1:
Distribution:

  Distribution Type: Geometric Distribution
  Characteristics: Models the number of trials until the first success.
  Probability of Success: 0.03
  
Question:
What is the percentile of 30.0 within the provided distribution?
Answer:
<answer>60.0</answer>

Example 2:
Distribution:

  Distribution Type: Geometric Distribution
  Characteristics: Models the number of trials until the first success.
  Probability of Success: 0.025
  
Question:
What is the percentile of 64.0 within the provided distribution?
Answer:
<answer>80.0</answer>

Example 3:
Distribution:

  Distribution Type: Geometric Distribution
  Characteristics: Models the number of trials until the first success.
  Probability of Success: 0.032
  
Question:
What is the percentile of 22.0 within the provided distribution?
Answer:
<answer>50.0</answer>

Example 4:
Distribution:

  Distribution Type: Geometric Distribution
  Characteristics: Models the number of trials until the first success.
  Probability of Success: 0.03
  
Question:
What is the percentile of 4.0 within the provided distribution?
Answer:
<answer>10.0</answer>

Example 5:
Distribution:

  Distribution Type: Geometric Distribution
  Characteristics: Models the number of trials until the first success.
  Probability of Success: 0.028
  
Question:
What is the percentile of 33.0 within the provided distribution?
Answer:
<answer>60.0</answer>

Example 6:
Distribution:

  Distribution Type: Geometric Distribution
  Characteristics: Models the number of trials until the first success.
  Probability of Success: 0.012
  
Question:
What is the percentile of 9.0 within the provided distribution?
Answer:
<answer>10.0</answer>

Example 7:
Distribution:

  Distribution Type: Geometric Distribution
  Characteristics: Models the number of trials until the first success.
  Probability of Success: 0.064
  
Question:
What is the percentile of 35.0 within the provided distribution?
Answer:
<answer>90.0</answer>


## Consider the following distribution:


  Distribution Type: Geometric Distribution
  Characteristics: Models the number of trials until the first success.
  Probability of Success: 0.05
  

## Here is your question:
Question:
What is the percentile of the value 5.0 within the provided distribution?
Answer:
",20.0,<answer>20.0</answer>
"
## You are an expert on statistics. Your task is to estimate the percentile of a number within a specific distribution. Answer with just a numerical response from 0 to 100. Make sure your final answer is enclosed by xml tags <answer> and </answer>

## Here are some examples to help you understand the task:


Example 1:
Distribution:

  Distribution Type: Geometric Distribution
  Characteristics: Models the number of trials until the first success.
  Probability of Success: 0.03
  
Question:
What is the percentile of 30.0 within the provided distribution?
Answer:
<answer>60.0</answer>

Example 2:
Distribution:

  Distribution Type: Geometric Distribution
  Characteristics: Models the number of trials until the first success.
  Probability of Success: 0.025
  
Question:
What is the percentile of 64.0 within the provided distribution?
Answer:
<answer>80.0</answer>

Example 3:
Distribution:

  Distribution Type: Geometric Distribution
  Characteristics: Models the number of trials until the first success.
  Probability of Success: 0.032
  
Question:
What is the percentile of 22.0 within the provided distribution?
Answer:
<answer>50.0</answer>

Example 4:
Distribution:

  Distribution Type: Geometric Distribution
  Characteristics: Models the number of trials until the first success.
  Probability of Success: 0.03
  
Question:
What is the percentile of 4.0 within the provided distribution?
Answer:
<answer>10.0</answer>

Example 5:
Distribution:

  Distribution Type: Geometric Distribution
  Characteristics: Models the number of trials until the first success.
  Probability of Success: 0.028
  
Question:
What is the percentile of 33.0 within the provided distribution?
Answer:
<answer>60.0</answer>

Example 6:
Distribution:

  Distribution Type: Geometric Distribution
  Characteristics: Models the number of trials until the first success.
  Probability of Success: 0.012
  
Question:
What is the percentile of 9.0 within the provided distribution?
Answer:
<answer>10.0</answer>

Example 7:
Distribution:

  Distribution Type: Geometric Distribution
  Characteristics: Models the number of trials until the first success.
  Probability of Success: 0.064
  
Question:
What is the percentile of 35.0 within the provided distribution?
Answer:
<answer>90.0</answer>


## Consider the following distribution:


  Distribution Type: Geometric Distribution
  Characteristics: Models the number of trials until the first success.
  Probability of Success: 0.05
  

## Here is your question:
Question:
What is the percentile of the value 5.0 within the provided distribution?
Answer:
",20.0,<answer>20.0</answer>
"
## You are an expert on statistics. Your task is to estimate the percentile of a number within a specific distribution. Answer with just a numerical response from 0 to 100. Make sure your final answer is enclosed by xml tags <answer> and </answer>

## Here are some examples to help you understand the task:


Example 1:
Distribution:

  Distribution Type: Geometric Distribution
  Characteristics: Models the number of trials until the first success.
  Probability of Success: 0.03
  
Question:
What is the percentile of 30.0 within the provided distribution?
Answer:
<answer>60.0</answer>

Example 2:
Distribution:

  Distribution Type: Geometric Distribution
  Characteristics: Models the number of trials until the first success.
  Probability of Success: 0.025
  
Question:
What is the percentile of 64.0 within the provided distribution?
Answer:
<answer>80.0</answer>

Example 3:
Distribution:

  Distribution Type: Geometric Distribution
  Characteristics: Models the number of trials until the first success.
  Probability of Success: 0.032
  
Question:
What is the percentile of 22.0 within the provided distribution?
Answer:
<answer>50.0</answer>

Example 4:
Distribution:

  Distribution Type: Geometric Distribution
  Characteristics: Models the number of trials until the first success.
  Probability of Success: 0.03
  
Question:
What is the percentile of 4.0 within the provided distribution?
Answer:
<answer>10.0</answer>

Example 5:
Distribution:

  Distribution Type: Geometric Distribution
  Characteristics: Models the number of trials until the first success.
  Probability of Success: 0.028
  
Question:
What is the percentile of 33.0 within the provided distribution?
Answer:
<answer>60.0</answer>

Example 6:
Distribution:

  Distribution Type: Geometric Distribution
  Characteristics: Models the number of trials until the first success.
  Probability of Success: 0.012
  
Question:
What is the percentile of 9.0 within the provided distribution?
Answer:
<answer>10.0</answer>

Example 7:
Distribution:

  Distribution Type: Geometric Distribution
  Characteristics: Models the number of trials until the first success.
  Probability of Success: 0.064
  
Question:
What is the percentile of 35.0 within the provided distribution?
Answer:
<answer>90.0</answer>


## Consider the following distribution:


  Distribution Type: Geometric Distribution
  Characteristics: Models the number of trials until the first success.
  Probability of Success: 0.05
  

## Here is your question:
Question:
What is the percentile of the value 7.0 within the provided distribution?
Answer:
",70.0,<answer>70.0</answer>
"
## You are an expert on statistics. Your task is to estimate the percentile of a number within a specific distribution. Answer with just a numerical response from 0 to 100. Make sure your final answer is enclosed by xml tags <answer> and </answer>

## Here are some examples to help you understand the task:


Example 1:
Distribution:

  Distribution Type: Geometric Distribution
  Characteristics: Models the number of trials until the first success.
  Probability of Success: 0.03
  
Question:
What is the percentile of 30.0 within the provided distribution?
Answer:
<answer>60.0</answer>

Example 2:
Distribution:

  Distribution Type: Geometric Distribution
  Characteristics: Models the number of trials until the first success.
  Probability of Success: 0.025
  
Question:
What is the percentile of 64.0 within the provided distribution?
Answer:
<answer>80.0</answer>

Example 3:
Distribution:

  Distribution Type: Geometric Distribution
  Characteristics: Models the number of trials until the first success.
  Probability of Success: 0.032
  
Question:
What is the percentile of 22.0 within the provided distribution?
Answer:
<answer>50.0</answer>

Example 4:
Distribution:

  Distribution Type: Geometric Distribution
  Characteristics: Models the number of trials until the first success.
  Probability of Success: 0.03
  
Question:
What is the percentile of 4.0 within the provided distribution?
Answer:
<answer>10.0</answer>

Example 5:
Distribution:

  Distribution Type: Geometric Distribution
  Characteristics: Models the number of trials until the first success.
  Probability of Success: 0.028
  
Question:
What is the percentile of 33.0 within the provided distribution?
Answer:
<answer>60.0</answer>

Example 6:
Distribution:

  Distribution Type: Geometric Distribution
  Characteristics: Models the number of trials until the first success.
  Probability of Success: 0.012
  
Question:
What is the percentile of 9.0 within the provided distribution?
Answer:
<answer>10.0</answer>

Example 7:
Distribution:

  Distribution Type: Geometric Distribution
  Characteristics: Models the number of trials until the first success.
  Probability of Success: 0.064
  
Question:
What is the percentile of 35.0 within the provided distribution?
Answer:
<answer>90.0</answer>


## Consider the following distribution:


  Distribution Type: Geometric Distribution
  Characteristics: Models the number of trials until the first success.
  Probability of Success: 0.05
  

## Here is your question:
Question:
What is the percentile of the value 7.0 within the provided distribution?
Answer:
",70.0,<answer>70.0</answer>
"
## You are an expert on statistics. Your task is to estimate the percentile of a number within a specific distribution. Answer with just a numerical response from 0 to 100. Make sure your final answer is enclosed by xml tags <answer> and </answer>

## Here are some examples to help you understand the task:


Example 1:
Distribution:

  Distribution Type: Geometric Distribution
  Characteristics: Models the number of trials until the first success.
  Probability of Success: 0.03
  
Question:
What is the percentile of 30.0 within the provided distribution?
Answer:
<answer>60.0</answer>

Example 2:
Distribution:

  Distribution Type: Geometric Distribution
  Characteristics: Models the number of trials until the first success.
  Probability of Success: 0.025
  
Question:
What is the percentile of 64.0 within the provided distribution?
Answer:
<answer>80.0</answer>

Example 3:
Distribution:

  Distribution Type: Geometric Distribution
  Characteristics: Models the number of trials until the first success.
  Probability of Success: 0.032
  
Question:
What is the percentile of 22.0 within the provided distribution?
Answer:
<answer>50.0</answer>

Example 4:
Distribution:

  Distribution Type: Geometric Distribution
  Characteristics: Models the number of trials until the first success.
  Probability of Success: 0.03
  
Question:
What is the percentile of 4.0 within the provided distribution?
Answer:
<answer>10.0</answer>

Example 5:
Distribution:

  Distribution Type: Geometric Distribution
  Characteristics: Models the number of trials until the first success.
  Probability of Success: 0.028
  
Question:
What is the percentile of 33.0 within the provided distribution?
Answer:
<answer>60.0</answer>

Example 6:
Distribution:

  Distribution Type: Geometric Distribution
  Characteristics: Models the number of trials until the first success.
  Probability of Success: 0.012
  
Question:
What is the percentile of 9.0 within the provided distribution?
Answer:
<answer>10.0</answer>

Example 7:
Distribution:

  Distribution Type: Geometric Distribution
  Characteristics: Models the number of trials until the first success.
  Probability of Success: 0.064
  
Question:
What is the percentile of 35.0 within the provided distribution?
Answer:
<answer>90.0</answer>


## Consider the following distribution:


  Distribution Type: Geometric Distribution
  Characteristics: Models the number of trials until the first success.
  Probability of Success: 0.05
  

## Here is your question:
Question:
What is the percentile of the value 7.0 within the provided distribution?
Answer:
",70.0,<answer>70.0</answer>
"
## You are an expert on statistics. Your task is to estimate the percentile of a number within a specific distribution. Answer with just a numerical response from 0 to 100. Make sure your final answer is enclosed by xml tags <answer> and </answer>

## Here are some examples to help you understand the task:


Example 1:
Distribution:

  Distribution Type: Geometric Distribution
  Characteristics: Models the number of trials until the first success.
  Probability of Success: 0.03
  
Question:
What is the percentile of 30.0 within the provided distribution?
Answer:
<answer>60.0</answer>

Example 2:
Distribution:

  Distribution Type: Geometric Distribution
  Characteristics: Models the number of trials until the first success.
  Probability of Success: 0.025
  
Question:
What is the percentile of 64.0 within the provided distribution?
Answer:
<answer>80.0</answer>

Example 3:
Distribution:

  Distribution Type: Geometric Distribution
  Characteristics: Models the number of trials until the first success.
  Probability of Success: 0.032
  
Question:
What is the percentile of 22.0 within the provided distribution?
Answer:
<answer>50.0</answer>

Example 4:
Distribution:

  Distribution Type: Geometric Distribution
  Characteristics: Models the number of trials until the first success.
  Probability of Success: 0.03
  
Question:
What is the percentile of 4.0 within the provided distribution?
Answer:
<answer>10.0</answer>

Example 5:
Distribution:

  Distribution Type: Geometric Distribution
  Characteristics: Models the number of trials until the first success.
  Probability of Success: 0.028
  
Question:
What is the percentile of 33.0 within the provided distribution?
Answer:
<answer>60.0</answer>

Example 6:
Distribution:

  Distribution Type: Geometric Distribution
  Characteristics: Models the number of trials until the first success.
  Probability of Success: 0.012
  
Question:
What is the percentile of 9.0 within the provided distribution?
Answer:
<answer>10.0</answer>

Example 7:
Distribution:

  Distribution Type: Geometric Distribution
  Characteristics: Models the number of trials until the first success.
  Probability of Success: 0.064
  
Question:
What is the percentile of 35.0 within the provided distribution?
Answer:
<answer>90.0</answer>


## Consider the following distribution:


  Distribution Type: Geometric Distribution
  Characteristics: Models the number of trials until the first success.
  Probability of Success: 0.05
  

## Here is your question:
Question:
What is the percentile of the value 7.0 within the provided distribution?
Answer:
",70.0,<answer>70.0</answer>
"
## You are an expert on statistics. Your task is to estimate the percentile of a number within a specific distribution. Answer with just a numerical response from 0 to 100. Make sure your final answer is enclosed by xml tags <answer> and </answer>

## Here are some examples to help you understand the task:


Example 1:
Distribution:

  Distribution Type: Geometric Distribution
  Characteristics: Models the number of trials until the first success.
  Probability of Success: 0.03
  
Question:
What is the percentile of 30.0 within the provided distribution?
Answer:
<answer>60.0</answer>

Example 2:
Distribution:

  Distribution Type: Geometric Distribution
  Characteristics: Models the number of trials until the first success.
  Probability of Success: 0.025
  
Question:
What is the percentile of 64.0 within the provided distribution?
Answer:
<answer>80.0</answer>

Example 3:
Distribution:

  Distribution Type: Geometric Distribution
  Characteristics: Models the number of trials until the first success.
  Probability of Success: 0.032
  
Question:
What is the percentile of 22.0 within the provided distribution?
Answer:
<answer>50.0</answer>

Example 4:
Distribution:

  Distribution Type: Geometric Distribution
  Characteristics: Models the number of trials until the first success.
  Probability of Success: 0.03
  
Question:
What is the percentile of 4.0 within the provided distribution?
Answer:
<answer>10.0</answer>

Example 5:
Distribution:

  Distribution Type: Geometric Distribution
  Characteristics: Models the number of trials until the first success.
  Probability of Success: 0.028
  
Question:
What is the percentile of 33.0 within the provided distribution?
Answer:
<answer>60.0</answer>

Example 6:
Distribution:

  Distribution Type: Geometric Distribution
  Characteristics: Models the number of trials until the first success.
  Probability of Success: 0.012
  
Question:
What is the percentile of 9.0 within the provided distribution?
Answer:
<answer>10.0</answer>

Example 7:
Distribution:

  Distribution Type: Geometric Distribution
  Characteristics: Models the number of trials until the first success.
  Probability of Success: 0.064
  
Question:
What is the percentile of 35.0 within the provided distribution?
Answer:
<answer>90.0</answer>


## Consider the following distribution:


  Distribution Type: Geometric Distribution
  Characteristics: Models the number of trials until the first success.
  Probability of Success: 0.05
  

## Here is your question:
Question:
What is the percentile of the value 7.0 within the provided distribution?
Answer:
",65.0,<answer>65.0</answer>
"
## You are an expert on statistics. Your task is to estimate the percentile of a number within a specific distribution. Answer with just a numerical response from 0 to 100. Make sure your final answer is enclosed by xml tags <answer> and </answer>

## Here are some examples to help you understand the task:


Example 1:
Distribution:

  Distribution Type: Geometric Distribution
  Characteristics: Models the number of trials until the first success.
  Probability of Success: 0.03
  
Question:
What is the percentile of 30.0 within the provided distribution?
Answer:
<answer>60.0</answer>

Example 2:
Distribution:

  Distribution Type: Geometric Distribution
  Characteristics: Models the number of trials until the first success.
  Probability of Success: 0.025
  
Question:
What is the percentile of 64.0 within the provided distribution?
Answer:
<answer>80.0</answer>

Example 3:
Distribution:

  Distribution Type: Geometric Distribution
  Characteristics: Models the number of trials until the first success.
  Probability of Success: 0.032
  
Question:
What is the percentile of 22.0 within the provided distribution?
Answer:
<answer>50.0</answer>

Example 4:
Distribution:

  Distribution Type: Geometric Distribution
  Characteristics: Models the number of trials until the first success.
  Probability of Success: 0.03
  
Question:
What is the percentile of 4.0 within the provided distribution?
Answer:
<answer>10.0</answer>

Example 5:
Distribution:

  Distribution Type: Geometric Distribution
  Characteristics: Models the number of trials until the first success.
  Probability of Success: 0.028
  
Question:
What is the percentile of 33.0 within the provided distribution?
Answer:
<answer>60.0</answer>

Example 6:
Distribution:

  Distribution Type: Geometric Distribution
  Characteristics: Models the number of trials until the first success.
  Probability of Success: 0.012
  
Question:
What is the percentile of 9.0 within the provided distribution?
Answer:
<answer>10.0</answer>

Example 7:
Distribution:

  Distribution Type: Geometric Distribution
  Characteristics: Models the number of trials until the first success.
  Probability of Success: 0.064
  
Question:
What is the percentile of 35.0 within the provided distribution?
Answer:
<answer>90.0</answer>


## Consider the following distribution:


  Distribution Type: Geometric Distribution
  Characteristics: Models the number of trials until the first success.
  Probability of Success: 0.05
  

## Here is your question:
Question:
What is the percentile of the value 7.0 within the provided distribution?
Answer:
",70.0,<answer>70.0</answer>
"
## You are an expert on statistics. Your task is to estimate the percentile of a number within a specific distribution. Answer with just a numerical response from 0 to 100. Make sure your final answer is enclosed by xml tags <answer> and </answer>

## Here are some examples to help you understand the task:


Example 1:
Distribution:

  Distribution Type: Geometric Distribution
  Characteristics: Models the number of trials until the first success.
  Probability of Success: 0.03
  
Question:
What is the percentile of 30.0 within the provided distribution?
Answer:
<answer>60.0</answer>

Example 2:
Distribution:

  Distribution Type: Geometric Distribution
  Characteristics: Models the number of trials until the first success.
  Probability of Success: 0.025
  
Question:
What is the percentile of 64.0 within the provided distribution?
Answer:
<answer>80.0</answer>

Example 3:
Distribution:

  Distribution Type: Geometric Distribution
  Characteristics: Models the number of trials until the first success.
  Probability of Success: 0.032
  
Question:
What is the percentile of 22.0 within the provided distribution?
Answer:
<answer>50.0</answer>

Example 4:
Distribution:

  Distribution Type: Geometric Distribution
  Characteristics: Models the number of trials until the first success.
  Probability of Success: 0.03
  
Question:
What is the percentile of 4.0 within the provided distribution?
Answer:
<answer>10.0</answer>

Example 5:
Distribution:

  Distribution Type: Geometric Distribution
  Characteristics: Models the number of trials until the first success.
  Probability of Success: 0.028
  
Question:
What is the percentile of 33.0 within the provided distribution?
Answer:
<answer>60.0</answer>

Example 6:
Distribution:

  Distribution Type: Geometric Distribution
  Characteristics: Models the number of trials until the first success.
  Probability of Success: 0.012
  
Question:
What is the percentile of 9.0 within the provided distribution?
Answer:
<answer>10.0</answer>

Example 7:
Distribution:

  Distribution Type: Geometric Distribution
  Characteristics: Models the number of trials until the first success.
  Probability of Success: 0.064
  
Question:
What is the percentile of 35.0 within the provided distribution?
Answer:
<answer>90.0</answer>


## Consider the following distribution:


  Distribution Type: Geometric Distribution
  Characteristics: Models the number of trials until the first success.
  Probability of Success: 0.05
  

## Here is your question:
Question:
What is the percentile of the value 7.0 within the provided distribution?
Answer:
",70.0,<answer>70.0</answer>
"
## You are an expert on statistics. Your task is to estimate the percentile of a number within a specific distribution. Answer with just a numerical response from 0 to 100. Make sure your final answer is enclosed by xml tags <answer> and </answer>

## Here are some examples to help you understand the task:


Example 1:
Distribution:

  Distribution Type: Geometric Distribution
  Characteristics: Models the number of trials until the first success.
  Probability of Success: 0.03
  
Question:
What is the percentile of 30.0 within the provided distribution?
Answer:
<answer>60.0</answer>

Example 2:
Distribution:

  Distribution Type: Geometric Distribution
  Characteristics: Models the number of trials until the first success.
  Probability of Success: 0.025
  
Question:
What is the percentile of 64.0 within the provided distribution?
Answer:
<answer>80.0</answer>

Example 3:
Distribution:

  Distribution Type: Geometric Distribution
  Characteristics: Models the number of trials until the first success.
  Probability of Success: 0.032
  
Question:
What is the percentile of 22.0 within the provided distribution?
Answer:
<answer>50.0</answer>

Example 4:
Distribution:

  Distribution Type: Geometric Distribution
  Characteristics: Models the number of trials until the first success.
  Probability of Success: 0.03
  
Question:
What is the percentile of 4.0 within the provided distribution?
Answer:
<answer>10.0</answer>

Example 5:
Distribution:

  Distribution Type: Geometric Distribution
  Characteristics: Models the number of trials until the first success.
  Probability of Success: 0.028
  
Question:
What is the percentile of 33.0 within the provided distribution?
Answer:
<answer>60.0</answer>

Example 6:
Distribution:

  Distribution Type: Geometric Distribution
  Characteristics: Models the number of trials until the first success.
  Probability of Success: 0.012
  
Question:
What is the percentile of 9.0 within the provided distribution?
Answer:
<answer>10.0</answer>

Example 7:
Distribution:

  Distribution Type: Geometric Distribution
  Characteristics: Models the number of trials until the first success.
  Probability of Success: 0.064
  
Question:
What is the percentile of 35.0 within the provided distribution?
Answer:
<answer>90.0</answer>


## Consider the following distribution:


  Distribution Type: Geometric Distribution
  Characteristics: Models the number of trials until the first success.
  Probability of Success: 0.05
  

## Here is your question:
Question:
What is the percentile of the value 7.0 within the provided distribution?
Answer:
",70.0,<answer>70.0</answer>
"
## You are an expert on statistics. Your task is to estimate the percentile of a number within a specific distribution. Answer with just a numerical response from 0 to 100. Make sure your final answer is enclosed by xml tags <answer> and </answer>

## Here are some examples to help you understand the task:


Example 1:
Distribution:

  Distribution Type: Geometric Distribution
  Characteristics: Models the number of trials until the first success.
  Probability of Success: 0.03
  
Question:
What is the percentile of 30.0 within the provided distribution?
Answer:
<answer>60.0</answer>

Example 2:
Distribution:

  Distribution Type: Geometric Distribution
  Characteristics: Models the number of trials until the first success.
  Probability of Success: 0.025
  
Question:
What is the percentile of 64.0 within the provided distribution?
Answer:
<answer>80.0</answer>

Example 3:
Distribution:

  Distribution Type: Geometric Distribution
  Characteristics: Models the number of trials until the first success.
  Probability of Success: 0.032
  
Question:
What is the percentile of 22.0 within the provided distribution?
Answer:
<answer>50.0</answer>

Example 4:
Distribution:

  Distribution Type: Geometric Distribution
  Characteristics: Models the number of trials until the first success.
  Probability of Success: 0.03
  
Question:
What is the percentile of 4.0 within the provided distribution?
Answer:
<answer>10.0</answer>

Example 5:
Distribution:

  Distribution Type: Geometric Distribution
  Characteristics: Models the number of trials until the first success.
  Probability of Success: 0.028
  
Question:
What is the percentile of 33.0 within the provided distribution?
Answer:
<answer>60.0</answer>

Example 6:
Distribution:

  Distribution Type: Geometric Distribution
  Characteristics: Models the number of trials until the first success.
  Probability of Success: 0.012
  
Question:
What is the percentile of 9.0 within the provided distribution?
Answer:
<answer>10.0</answer>

Example 7:
Distribution:

  Distribution Type: Geometric Distribution
  Characteristics: Models the number of trials until the first success.
  Probability of Success: 0.064
  
Question:
What is the percentile of 35.0 within the provided distribution?
Answer:
<answer>90.0</answer>


## Consider the following distribution:


  Distribution Type: Geometric Distribution
  Characteristics: Models the number of trials until the first success.
  Probability of Success: 0.05
  

## Here is your question:
Question:
What is the percentile of the value 7.0 within the provided distribution?
Answer:
",70.0,<answer>70.0</answer>
"
## You are an expert on statistics. Your task is to estimate the percentile of a number within a specific distribution. Answer with just a numerical response from 0 to 100. Make sure your final answer is enclosed by xml tags <answer> and </answer>

## Here are some examples to help you understand the task:


Example 1:
Distribution:

  Distribution Type: Geometric Distribution
  Characteristics: Models the number of trials until the first success.
  Probability of Success: 0.03
  
Question:
What is the percentile of 30.0 within the provided distribution?
Answer:
<answer>60.0</answer>

Example 2:
Distribution:

  Distribution Type: Geometric Distribution
  Characteristics: Models the number of trials until the first success.
  Probability of Success: 0.025
  
Question:
What is the percentile of 64.0 within the provided distribution?
Answer:
<answer>80.0</answer>

Example 3:
Distribution:

  Distribution Type: Geometric Distribution
  Characteristics: Models the number of trials until the first success.
  Probability of Success: 0.032
  
Question:
What is the percentile of 22.0 within the provided distribution?
Answer:
<answer>50.0</answer>

Example 4:
Distribution:

  Distribution Type: Geometric Distribution
  Characteristics: Models the number of trials until the first success.
  Probability of Success: 0.03
  
Question:
What is the percentile of 4.0 within the provided distribution?
Answer:
<answer>10.0</answer>

Example 5:
Distribution:

  Distribution Type: Geometric Distribution
  Characteristics: Models the number of trials until the first success.
  Probability of Success: 0.028
  
Question:
What is the percentile of 33.0 within the provided distribution?
Answer:
<answer>60.0</answer>

Example 6:
Distribution:

  Distribution Type: Geometric Distribution
  Characteristics: Models the number of trials until the first success.
  Probability of Success: 0.012
  
Question:
What is the percentile of 9.0 within the provided distribution?
Answer:
<answer>10.0</answer>

Example 7:
Distribution:

  Distribution Type: Geometric Distribution
  Characteristics: Models the number of trials until the first success.
  Probability of Success: 0.064
  
Question:
What is the percentile of 35.0 within the provided distribution?
Answer:
<answer>90.0</answer>


## Consider the following distribution:


  Distribution Type: Geometric Distribution
  Characteristics: Models the number of trials until the first success.
  Probability of Success: 0.05
  

## Here is your question:
Question:
What is the percentile of the value 7.0 within the provided distribution?
Answer:
",70.0,<answer>70.0</answer>
"
## You are an expert on statistics. Your task is to estimate the percentile of a number within a specific distribution. Answer with just a numerical response from 0 to 100. Make sure your final answer is enclosed by xml tags <answer> and </answer>

## Here are some examples to help you understand the task:


Example 1:
Distribution:

  Distribution Type: Geometric Distribution
  Characteristics: Models the number of trials until the first success.
  Probability of Success: 0.03
  
Question:
What is the percentile of 30.0 within the provided distribution?
Answer:
<answer>60.0</answer>

Example 2:
Distribution:

  Distribution Type: Geometric Distribution
  Characteristics: Models the number of trials until the first success.
  Probability of Success: 0.025
  
Question:
What is the percentile of 64.0 within the provided distribution?
Answer:
<answer>80.0</answer>

Example 3:
Distribution:

  Distribution Type: Geometric Distribution
  Characteristics: Models the number of trials until the first success.
  Probability of Success: 0.032
  
Question:
What is the percentile of 22.0 within the provided distribution?
Answer:
<answer>50.0</answer>

Example 4:
Distribution:

  Distribution Type: Geometric Distribution
  Characteristics: Models the number of trials until the first success.
  Probability of Success: 0.03
  
Question:
What is the percentile of 4.0 within the provided distribution?
Answer:
<answer>10.0</answer>

Example 5:
Distribution:

  Distribution Type: Geometric Distribution
  Characteristics: Models the number of trials until the first success.
  Probability of Success: 0.028
  
Question:
What is the percentile of 33.0 within the provided distribution?
Answer:
<answer>60.0</answer>

Example 6:
Distribution:

  Distribution Type: Geometric Distribution
  Characteristics: Models the number of trials until the first success.
  Probability of Success: 0.012
  
Question:
What is the percentile of 9.0 within the provided distribution?
Answer:
<answer>10.0</answer>

Example 7:
Distribution:

  Distribution Type: Geometric Distribution
  Characteristics: Models the number of trials until the first success.
  Probability of Success: 0.064
  
Question:
What is the percentile of 35.0 within the provided distribution?
Answer:
<answer>90.0</answer>


## Consider the following distribution:


  Distribution Type: Geometric Distribution
  Characteristics: Models the number of trials until the first success.
  Probability of Success: 0.05
  

## Here is your question:
Question:
What is the percentile of the value 10.0 within the provided distribution?
Answer:
",40.0,<answer>40.0</answer>
