prompt,answer,reasoning
"
## You are an expert on statistics. Your task is to estimate the percentile of a number within a specific distribution. Answer with just a numerical response from 0 to 100. Make sure your final answer is enclosed by xml tags <answer> and </answer>

## Here are some examples to help you understand the task:


Example 1:
Distribution:

  Distribution Type: Uniform Distribution
  Characteristics: All values within the interval have equal probability of occurring.
  Min: 77 (Minimum value of the distribution.)
  Max: 104 (Maximum value of the distribution.)
  
Question:
What is the percentile of 90.507 within the provided distribution?
Answer:
<answer>50.0</answer>

Example 2:
Distribution:

  Distribution Type: Uniform Distribution
  Characteristics: All values within the interval have equal probability of occurring.
  Min: 61 (Minimum value of the distribution.)
  Max: 122 (Maximum value of the distribution.)
  
Question:
What is the percentile of 73.058 within the provided distribution?
Answer:
<answer>20.0</answer>

Example 3:
Distribution:

  Distribution Type: Uniform Distribution
  Characteristics: All values within the interval have equal probability of occurring.
  Min: 94 (Minimum value of the distribution.)
  Max: 123 (Maximum value of the distribution.)
  
Question:
What is the percentile of 111.358 within the provided distribution?
Answer:
<answer>60.0</answer>


## Consider the following distribution:


  Distribution Type: Uniform Distribution
  Characteristics: All values within the interval have equal probability of occurring.
  Min: 70 (Minimum value of the distribution.)
  Max: 130 (Maximum value of the distribution.)
  

## Here is your question:
Question:
What is the percentile of the value 76.024 within the provided distribution?
Answer:
",15.0,<answer>15.0</answer>
"
## You are an expert on statistics. Your task is to estimate the percentile of a number within a specific distribution. Answer with just a numerical response from 0 to 100. Make sure your final answer is enclosed by xml tags <answer> and </answer>

## Here are some examples to help you understand the task:


Example 1:
Distribution:

  Distribution Type: Uniform Distribution
  Characteristics: All values within the interval have equal probability of occurring.
  Min: 77 (Minimum value of the distribution.)
  Max: 104 (Maximum value of the distribution.)
  
Question:
What is the percentile of 90.507 within the provided distribution?
Answer:
<answer>50.0</answer>

Example 2:
Distribution:

  Distribution Type: Uniform Distribution
  Characteristics: All values within the interval have equal probability of occurring.
  Min: 61 (Minimum value of the distribution.)
  Max: 122 (Maximum value of the distribution.)
  
Question:
What is the percentile of 73.058 within the provided distribution?
Answer:
<answer>20.0</answer>

Example 3:
Distribution:

  Distribution Type: Uniform Distribution
  Characteristics: All values within the interval have equal probability of occurring.
  Min: 94 (Minimum value of the distribution.)
  Max: 123 (Maximum value of the distribution.)
  
Question:
What is the percentile of 111.358 within the provided distribution?
Answer:
<answer>60.0</answer>


## Consider the following distribution:


  Distribution Type: Uniform Distribution
  Characteristics: All values within the interval have equal probability of occurring.
  Min: 70 (Minimum value of the distribution.)
  Max: 130 (Maximum value of the distribution.)
  

## Here is your question:
Question:
What is the percentile of the value 76.024 within the provided distribution?
Answer:
",12.0,<answer>12.0</answer>
"
## You are an expert on statistics. Your task is to estimate the percentile of a number within a specific distribution. Answer with just a numerical response from 0 to 100. Make sure your final answer is enclosed by xml tags <answer> and </answer>

## Here are some examples to help you understand the task:


Example 1:
Distribution:

  Distribution Type: Uniform Distribution
  Characteristics: All values within the interval have equal probability of occurring.
  Min: 77 (Minimum value of the distribution.)
  Max: 104 (Maximum value of the distribution.)
  
Question:
What is the percentile of 90.507 within the provided distribution?
Answer:
<answer>50.0</answer>

Example 2:
Distribution:

  Distribution Type: Uniform Distribution
  Characteristics: All values within the interval have equal probability of occurring.
  Min: 61 (Minimum value of the distribution.)
  Max: 122 (Maximum value of the distribution.)
  
Question:
What is the percentile of 73.058 within the provided distribution?
Answer:
<answer>20.0</answer>

Example 3:
Distribution:

  Distribution Type: Uniform Distribution
  Characteristics: All values within the interval have equal probability of occurring.
  Min: 94 (Minimum value of the distribution.)
  Max: 123 (Maximum value of the distribution.)
  
Question:
What is the percentile of 111.358 within the provided distribution?
Answer:
<answer>60.0</answer>


## Consider the following distribution:


  Distribution Type: Uniform Distribution
  Characteristics: All values within the interval have equal probability of occurring.
  Min: 70 (Minimum value of the distribution.)
  Max: 130 (Maximum value of the distribution.)
  

## Here is your question:
Question:
What is the percentile of the value 76.024 within the provided distribution?
Answer:
",15.0,<answer>15.0</answer>
"
## You are an expert on statistics. Your task is to estimate the percentile of a number within a specific distribution. Answer with just a numerical response from 0 to 100. Make sure your final answer is enclosed by xml tags <answer> and </answer>

## Here are some examples to help you understand the task:


Example 1:
Distribution:

  Distribution Type: Uniform Distribution
  Characteristics: All values within the interval have equal probability of occurring.
  Min: 77 (Minimum value of the distribution.)
  Max: 104 (Maximum value of the distribution.)
  
Question:
What is the percentile of 90.507 within the provided distribution?
Answer:
<answer>50.0</answer>

Example 2:
Distribution:

  Distribution Type: Uniform Distribution
  Characteristics: All values within the interval have equal probability of occurring.
  Min: 61 (Minimum value of the distribution.)
  Max: 122 (Maximum value of the distribution.)
  
Question:
What is the percentile of 73.058 within the provided distribution?
Answer:
<answer>20.0</answer>

Example 3:
Distribution:

  Distribution Type: Uniform Distribution
  Characteristics: All values within the interval have equal probability of occurring.
  Min: 94 (Minimum value of the distribution.)
  Max: 123 (Maximum value of the distribution.)
  
Question:
What is the percentile of 111.358 within the provided distribution?
Answer:
<answer>60.0</answer>


## Consider the following distribution:


  Distribution Type: Uniform Distribution
  Characteristics: All values within the interval have equal probability of occurring.
  Min: 70 (Minimum value of the distribution.)
  Max: 130 (Maximum value of the distribution.)
  

## Here is your question:
Question:
What is the percentile of the value 76.024 within the provided distribution?
Answer:
",12.0,<answer>12.0</answer>
"
## You are an expert on statistics. Your task is to estimate the percentile of a number within a specific distribution. Answer with just a numerical response from 0 to 100. Make sure your final answer is enclosed by xml tags <answer> and </answer>

## Here are some examples to help you understand the task:


Example 1:
Distribution:

  Distribution Type: Uniform Distribution
  Characteristics: All values within the interval have equal probability of occurring.
  Min: 77 (Minimum value of the distribution.)
  Max: 104 (Maximum value of the distribution.)
  
Question:
What is the percentile of 90.507 within the provided distribution?
Answer:
<answer>50.0</answer>

Example 2:
Distribution:

  Distribution Type: Uniform Distribution
  Characteristics: All values within the interval have equal probability of occurring.
  Min: 61 (Minimum value of the distribution.)
  Max: 122 (Maximum value of the distribution.)
  
Question:
What is the percentile of 73.058 within the provided distribution?
Answer:
<answer>20.0</answer>

Example 3:
Distribution:

  Distribution Type: Uniform Distribution
  Characteristics: All values within the interval have equal probability of occurring.
  Min: 94 (Minimum value of the distribution.)
  Max: 123 (Maximum value of the distribution.)
  
Question:
What is the percentile of 111.358 within the provided distribution?
Answer:
<answer>60.0</answer>


## Consider the following distribution:


  Distribution Type: Uniform Distribution
  Characteristics: All values within the interval have equal probability of occurring.
  Min: 70 (Minimum value of the distribution.)
  Max: 130 (Maximum value of the distribution.)
  

## Here is your question:
Question:
What is the percentile of the value 76.024 within the provided distribution?
Answer:
",12.0,<answer>12.0</answer>
"
## You are an expert on statistics. Your task is to estimate the percentile of a number within a specific distribution. Answer with just a numerical response from 0 to 100. Make sure your final answer is enclosed by xml tags <answer> and </answer>

## Here are some examples to help you understand the task:


Example 1:
Distribution:

  Distribution Type: Uniform Distribution
  Characteristics: All values within the interval have equal probability of occurring.
  Min: 77 (Minimum value of the distribution.)
  Max: 104 (Maximum value of the distribution.)
  
Question:
What is the percentile of 90.507 within the provided distribution?
Answer:
<answer>50.0</answer>

Example 2:
Distribution:

  Distribution Type: Uniform Distribution
  Characteristics: All values within the interval have equal probability of occurring.
  Min: 61 (Minimum value of the distribution.)
  Max: 122 (Maximum value of the distribution.)
  
Question:
What is the percentile of 73.058 within the provided distribution?
Answer:
<answer>20.0</answer>

Example 3:
Distribution:

  Distribution Type: Uniform Distribution
  Characteristics: All values within the interval have equal probability of occurring.
  Min: 94 (Minimum value of the distribution.)
  Max: 123 (Maximum value of the distribution.)
  
Question:
What is the percentile of 111.358 within the provided distribution?
Answer:
<answer>60.0</answer>


## Consider the following distribution:


  Distribution Type: Uniform Distribution
  Characteristics: All values within the interval have equal probability of occurring.
  Min: 70 (Minimum value of the distribution.)
  Max: 130 (Maximum value of the distribution.)
  

## Here is your question:
Question:
What is the percentile of the value 76.024 within the provided distribution?
Answer:
",15.0,<answer>15.0</answer>
"
## You are an expert on statistics. Your task is to estimate the percentile of a number within a specific distribution. Answer with just a numerical response from 0 to 100. Make sure your final answer is enclosed by xml tags <answer> and </answer>

## Here are some examples to help you understand the task:


Example 1:
Distribution:

  Distribution Type: Uniform Distribution
  Characteristics: All values within the interval have equal probability of occurring.
  Min: 77 (Minimum value of the distribution.)
  Max: 104 (Maximum value of the distribution.)
  
Question:
What is the percentile of 90.507 within the provided distribution?
Answer:
<answer>50.0</answer>

Example 2:
Distribution:

  Distribution Type: Uniform Distribution
  Characteristics: All values within the interval have equal probability of occurring.
  Min: 61 (Minimum value of the distribution.)
  Max: 122 (Maximum value of the distribution.)
  
Question:
What is the percentile of 73.058 within the provided distribution?
Answer:
<answer>20.0</answer>

Example 3:
Distribution:

  Distribution Type: Uniform Distribution
  Characteristics: All values within the interval have equal probability of occurring.
  Min: 94 (Minimum value of the distribution.)
  Max: 123 (Maximum value of the distribution.)
  
Question:
What is the percentile of 111.358 within the provided distribution?
Answer:
<answer>60.0</answer>


## Consider the following distribution:


  Distribution Type: Uniform Distribution
  Characteristics: All values within the interval have equal probability of occurring.
  Min: 70 (Minimum value of the distribution.)
  Max: 130 (Maximum value of the distribution.)
  

## Here is your question:
Question:
What is the percentile of the value 76.024 within the provided distribution?
Answer:
",12.0,<answer>12.0</answer>
"
## You are an expert on statistics. Your task is to estimate the percentile of a number within a specific distribution. Answer with just a numerical response from 0 to 100. Make sure your final answer is enclosed by xml tags <answer> and </answer>

## Here are some examples to help you understand the task:


Example 1:
Distribution:

  Distribution Type: Uniform Distribution
  Characteristics: All values within the interval have equal probability of occurring.
  Min: 77 (Minimum value of the distribution.)
  Max: 104 (Maximum value of the distribution.)
  
Question:
What is the percentile of 90.507 within the provided distribution?
Answer:
<answer>50.0</answer>

Example 2:
Distribution:

  Distribution Type: Uniform Distribution
  Characteristics: All values within the interval have equal probability of occurring.
  Min: 61 (Minimum value of the distribution.)
  Max: 122 (Maximum value of the distribution.)
  
Question:
What is the percentile of 73.058 within the provided distribution?
Answer:
<answer>20.0</answer>

Example 3:
Distribution:

  Distribution Type: Uniform Distribution
  Characteristics: All values within the interval have equal probability of occurring.
  Min: 94 (Minimum value of the distribution.)
  Max: 123 (Maximum value of the distribution.)
  
Question:
What is the percentile of 111.358 within the provided distribution?
Answer:
<answer>60.0</answer>


## Consider the following distribution:


  Distribution Type: Uniform Distribution
  Characteristics: All values within the interval have equal probability of occurring.
  Min: 70 (Minimum value of the distribution.)
  Max: 130 (Maximum value of the distribution.)
  

## Here is your question:
Question:
What is the percentile of the value 76.024 within the provided distribution?
Answer:
",12.0,<answer>12.0</answer>
"
## You are an expert on statistics. Your task is to estimate the percentile of a number within a specific distribution. Answer with just a numerical response from 0 to 100. Make sure your final answer is enclosed by xml tags <answer> and </answer>

## Here are some examples to help you understand the task:


Example 1:
Distribution:

  Distribution Type: Uniform Distribution
  Characteristics: All values within the interval have equal probability of occurring.
  Min: 77 (Minimum value of the distribution.)
  Max: 104 (Maximum value of the distribution.)
  
Question:
What is the percentile of 90.507 within the provided distribution?
Answer:
<answer>50.0</answer>

Example 2:
Distribution:

  Distribution Type: Uniform Distribution
  Characteristics: All values within the interval have equal probability of occurring.
  Min: 61 (Minimum value of the distribution.)
  Max: 122 (Maximum value of the distribution.)
  
Question:
What is the percentile of 73.058 within the provided distribution?
Answer:
<answer>20.0</answer>

Example 3:
Distribution:

  Distribution Type: Uniform Distribution
  Characteristics: All values within the interval have equal probability of occurring.
  Min: 94 (Minimum value of the distribution.)
  Max: 123 (Maximum value of the distribution.)
  
Question:
What is the percentile of 111.358 within the provided distribution?
Answer:
<answer>60.0</answer>


## Consider the following distribution:


  Distribution Type: Uniform Distribution
  Characteristics: All values within the interval have equal probability of occurring.
  Min: 70 (Minimum value of the distribution.)
  Max: 130 (Maximum value of the distribution.)
  

## Here is your question:
Question:
What is the percentile of the value 76.024 within the provided distribution?
Answer:
",12.0,<answer>12.0</answer>
"
## You are an expert on statistics. Your task is to estimate the percentile of a number within a specific distribution. Answer with just a numerical response from 0 to 100. Make sure your final answer is enclosed by xml tags <answer> and </answer>

## Here are some examples to help you understand the task:


Example 1:
Distribution:

  Distribution Type: Uniform Distribution
  Characteristics: All values within the interval have equal probability of occurring.
  Min: 77 (Minimum value of the distribution.)
  Max: 104 (Maximum value of the distribution.)
  
Question:
What is the percentile of 90.507 within the provided distribution?
Answer:
<answer>50.0</answer>

Example 2:
Distribution:

  Distribution Type: Uniform Distribution
  Characteristics: All values within the interval have equal probability of occurring.
  Min: 61 (Minimum value of the distribution.)
  Max: 122 (Maximum value of the distribution.)
  
Question:
What is the percentile of 73.058 within the provided distribution?
Answer:
<answer>20.0</answer>

Example 3:
Distribution:

  Distribution Type: Uniform Distribution
  Characteristics: All values within the interval have equal probability of occurring.
  Min: 94 (Minimum value of the distribution.)
  Max: 123 (Maximum value of the distribution.)
  
Question:
What is the percentile of 111.358 within the provided distribution?
Answer:
<answer>60.0</answer>


## Consider the following distribution:


  Distribution Type: Uniform Distribution
  Characteristics: All values within the interval have equal probability of occurring.
  Min: 70 (Minimum value of the distribution.)
  Max: 130 (Maximum value of the distribution.)
  

## Here is your question:
Question:
What is the percentile of the value 76.024 within the provided distribution?
Answer:
",15.0,<answer>15.0</answer>
